201811162300  140 10470 130000 1 12AKI3
20181117 300  140 10470 130000 1 12AKI3
20181117 800  140 10470 130000 1 12AKI3
201811171200  140 10470 130000 1 12AKI3
201811171500  140 10470 130000 1 12AKI3
201811172000  140 10470 130000 1 12AKI3
201811172300  140 10470 130000 1 12AKI3
20181118 300  140 10470 130000 1 12AKI3
20181118 800  140 10470 130000 1 12AKI3
201811181200  140 10470 130000 1 12AKI3
201811181500  140 10470 130000 1 12AKI3
201811182000  140 10470 130000 1 12AKI3
201811182300  140 10470 130000 1 12AKI3
20181119 300  140 10470 130000 1 12AKI3
20181119 800  140 10470 130000 1 12AKI3
201811191200  140 10470 130000 1 12AKI3
201811191500  140 10470 130000 1 12AKI3
201811192000  140 10470 130000 1 12AKI3
201811192300  140 10470 130000 1 12AKI3
20181120 300  140 10470 130000 1 12AKI3
20181120 800  140 10470 130000 1 12AKI3
201811201200  140 10470 130000 1 12AKI3
201811201500  140 10470 130000 1 12AKI3
201811202000  140 10470 130000 1 12AKI3
201811202300  140 10470 130000 1 12AKI3
20181121 300  140 10470 130000 1 12AKI3
20181121 800  140 10470 130000 1 12AKI3
201811211200  140 10470 130000 1 12AKI3
201811211500  140 10470 130000 1 12AKI3
201811212000  140 10470 130000 1 12AKI3
201811212300  140 10470 130000 1 12AKI3
20181122 300  120 10490 130000 1 12AKI3
20181122 800  120 10620 130024 1 12AKI3
201811221200  180 10720 130014 1 12AKI3
201811221500  260 10770 130014 1 12AKI3
201811221900  350 10890 130014 1 12AKI3
201811222300  430 10980 130014 1 12AKI3
20181123 300  540 11060 130014 1 12AKI3
20181123 800  610 11140 130084 1 12AKI3
201811231200  690 11120 130064 1 12AKI3
201811231500  620 11060 130054 1 12AKI3
201811232000  680 11100 130044 1 12AKI3
201811232300  620 11120 130084 1 12AKI3
20181124 300  640 11130 130044 1 12AKI3
20181124 800  680 11130 130044 1 12AKI3
201811241200  660 11120 130084 1 12AKI3
201811241500  640 11140 130044 1 12AKI3
201811242000  700 11120 130044 1 12AKI3
201811242300  620 11120 130044 1 12AKI3
20181125 300  690 11090 130044 1 12AKI3
20181125 700  610 11130 130074 1 12AKI3
201811251200  690 11070 130034 1 12AKI3
201811251500  620 11120 130034 1 12AKI3
201811252000  670 11040 130074 1 12AKI3
201811252300  700 11020 130034 1 12AKI3
20181126 300  600 11130 130033 1 12AKI3
20181126 800  680 11050 130074 1 12AKI3
201811261200  640 11070 130034 1 12AKI3
201811261500  630 11100 130074 1 12AKI3
201811262000  670 11040 130033 1 12AKI3
201811262300  610 11110 130034 1 12AKI3
20181127 300  690 11060 130074 1 12AKI3
